Package,Path,Line,WMC,ATFD,TCC
jsat.clustering.kmeans,/src/jsat/clustering/kmeans/KernelKMeans.java,39,85,30,26.720
jsat.clustering.kmeans,/src/jsat/clustering/kmeans/ElkanKMeans.java,32,54,69,16.364
jsat.utils,/src/jsat/utils/StringUtils.java,7,61,21,0.000
jsat.utils,/src/jsat/utils/IntDoubleMap.java,19,62,15,32.680
jsat.utils,/src/jsat/utils/IntPriorityQueue.java,14,59,19,21.739
jsat.math.optimization,/src/jsat/math/optimization/NelderMead.java,22,52,43,13.333
jsat.math.optimization,/src/jsat/math/optimization/ModifiedOWLQN.java,50,63,38,17.582
jsat.math,/src/jsat/math/SpecialMath.java,23,129,23,0.265
jsat.datatransform.visualization,/src/jsat/datatransform/visualization/TSNE.java,62,47,87,16.316
jsat.datatransform.featureselection,/src/jsat/datatransform/featureselection/SFS.java,20,49,18,16.374
jsat.datatransform.kernel,/src/jsat/datatransform/kernel/Nystrom.java,47,56,49,27.619
jsat.parameters,/src/jsat/parameters/Parameter.java,22,61,66,0.000
jsat.parameters,/src/jsat/parameters/GridSearch.java,32,74,48,15.385
jsat.text.topicmodel,/src/jsat/text/topicmodel/OnlineLDAsvi.java,84,85,92,21.379
jsat.text.stemming,/src/jsat/text/stemming/PorterStemmer.java,12,77,9,0.000
jsat.regression,/src/jsat/regression/StochasticRidgeRegression.java,28,54,28,15.714
jsat.regression,/src/jsat/regression/RegressionDataSet.java,25,53,24,11.029
jsat.classifiers.knn,/src/jsat/classifiers/knn/DANN.java,38,51,45,18.333
jsat.classifiers.trees,/src/jsat/classifiers/trees/RandomForest.java,45,62,39,18.947
jsat.classifiers.trees,/src/jsat/classifiers/trees/ExtraTree.java,32,77,125,13.810
jsat.classifiers.trees,/src/jsat/classifiers/trees/DecisionStump.java,38,118,216,15.269
jsat.classifiers.trees,/src/jsat/classifiers/trees/DecisionTree.java,36,81,58,20.228
jsat.classifiers.trees,/src/jsat/classifiers/trees/TreePruner.java,22,47,46,0.000
jsat.classifiers,/src/jsat/classifiers/ClassificationModelEvaluation.java,25,53,46,16.256
jsat.classifiers.linear,/src/jsat/classifiers/linear/StochasticSTLinearL1.java,37,57,19,10.000
jsat.classifiers.linear,/src/jsat/classifiers/linear/LogisticRegressionDCD.java,36,50,12,11.111
jsat.classifiers.linear.kernelized,/src/jsat/classifiers/linear/kernelized/OSKL.java,44,58,31,20.949
jsat.classifiers.linear.kernelized,/src/jsat/classifiers/linear/kernelized/DUOL.java,51,49,33,15.000
jsat.classifiers.linear.kernelized,/src/jsat/classifiers/linear/kernelized/KernelSGD.java,51,66,34,17.471
jsat.classifiers.linear.kernelized,/src/jsat/classifiers/linear/kernelized/BOGD.java,34,57,29,16.450
jsat.classifiers.linear,/src/jsat/classifiers/linear/SDCA.java,64,87,44,6.667
jsat.classifiers.linear,/src/jsat/classifiers/linear/SCW.java,55,64,28,12.648
jsat.classifiers.linear,/src/jsat/classifiers/linear/NHERD.java,40,52,32,16.912
jsat.classifiers.linear,/src/jsat/classifiers/linear/BBR.java,34,74,20,9.667
jsat.classifiers.linear,/src/jsat/classifiers/linear/StochasticMultinomialLogisticRegression.java,35,88,53,9.677
jsat.classifiers.linear,/src/jsat/classifiers/linear/SCD.java,37,47,24,6.536
jsat.classifiers.linear,/src/jsat/classifiers/linear/LinearSGD.java,61,79,48,20.833
jsat.classifiers.linear,/src/jsat/classifiers/linear/LinearL1SCD.java,43,53,45,0.000
jsat.classifiers.linear,/src/jsat/classifiers/linear/AROW.java,37,48,19,16.912
jsat.classifiers.linear,/src/jsat/classifiers/linear/LinearBatch.java,50,71,49,16.308
